INFO:     hub_guestfwd_cors_proxy listening on http://127.0.0.1:18787 → 127.0.0.1:18788
2026-09-17T18:41:04Z INFO:     127.0.0.1:59986 - "OPTIONS /api/v1/auth/login HTTP/1.1" PROXY
2026-09-17T18:41:04Z INFO:     127.0.0.1:59986 - "OPTIONS /api/v1/auth/login HTTP/1.1" 204 CORS_LOCAL
2026-09-17T18:41:04Z INFO:     127.0.0.1:59987 - "POST /api/v1/auth/login HTTP/1.1" PROXY
2026-09-17T18:41:04Z INFO:     127.0.0.1:59987 - "POST /api/v1/auth/login HTTP/1.1" 200 OK
2026-09-17T18:41:04Z INFO:     127.0.0.1:59989 - "OPTIONS /api/v1/auth/login HTTP/1.1" PROXY
2026-09-17T18:41:04Z INFO:     127.0.0.1:59989 - "OPTIONS /api/v1/auth/login HTTP/1.1" 204 CORS_LOCAL
2026-09-17T18:41:04Z INFO:     127.0.0.1:59990 - "POST /api/v1/auth/login HTTP/1.1" PROXY
2026-09-17T18:41:04Z INFO:     127.0.0.1:59990 - "POST /api/v1/auth/login HTTP/1.1" 200 OK
2026-09-17T18:41:04Z INFO:     127.0.0.1:59992 - "GET /healthz HTTP/1.1" PROXY
2026-09-17T18:41:04Z INFO:     127.0.0.1:59992 - "GET /healthz HTTP/1.1" 200 OK
